Customer ID,Recency,Frequency,Monetary,Interpurchase_Time
12346.0,325,12,745.7,33
12347.0,2,8,4921.530000000001,50
12348.0,75,5,1991.86,72
12349.0,18,4,3786.5,142
12352.0,36,10,2098.9400000000005,35
12353.0,204,2,406.76,102
12355.0,214,2,947.6099999999999,176
12356.0,22,6,6371.7300000000005,66
12357.0,33,3,17474.6,118
12358.0,1,5,3853.41,146
12359.0,57,10,7960.75,67
12360.0,52,8,4203.93,75
12361.0,287,4,511.24999999999994,98
12362.0,3,11,5263.17,66
12363.0,109,2,552.0,66
12364.0,7,4,1313.1000000000001,26
12365.0,291,2,357.62999999999994,0
12369.0,413,3,1769.73,76
12370.0,51,7,4289.02,88
12371.0,44,5,4012.2999999999993,120
12372.0,71,3,1298.0400000000002,74
12373.0,311,3,1112.35,120
12374.0,25,4,2964.7400000000007,140
12375.0,10,2,451.38,43
12376.0,389,2,493.97,14
12377.0,315,4,3414.08,68
12378.0,129,2,5410.3,216
12379.0,81,4,1620.22,113
12380.0,21,11,7933.47,58
12381.0,4,5,1817.7700000000004,23
12383.0,184,5,1850.5600000000002,33
12384.0,28,2,573.0300000000001,46
12386.0,337,2,401.9,14
12388.0,15,8,3901.11,70
12389.0,402,3,1433.33,84
12391.0,21,6,2638.82,106
12393.0,72,6,2399.45,59
12394.0,63,2,1272.48,76
12395.0,19,15,4718.16,38
12397.0,35,2,2409.9000000000005,49
12399.0,119,7,1962.3000000000004,75
12402.0,323,6,1256.9000000000003,57
12403.0,49,2,1019.3600000000001,235
12406.0,22,5,6390.36,135
12407.0,49,5,1708.1199999999997,42
12408.0,32,8,4340.7699999999995,58
12409.0,78,7,23419.289999999997,69
12410.0,308,3,995.3499999999999,64
12412.0,74,6,2596.9300000000003,77
12413.0,66,4,999.45,83
12414.0,217,6,754.05,41
12415.0,24,28,140831.45,17
12417.0,3,20,6797.41,36
12418.0,112,4,2021.2,129
12419.0,385,2,503.01,13
12421.0,15,6,1098.6000000000001,81
12422.0,95,17,4210.51,36
12423.0,0,10,2622.39,46
12424.0,162,4,3340.0299999999997,96
12425.0,78,2,1741.4099999999999,185
12426.0,194,2,1345.21,234
12427.0,21,3,825.8,116
12428.0,25,9,7402.64,28
12429.0,9,8,6204.41,67
12431.0,35,27,10432.220000000001,24
12432.0,42,5,4340.139999999999,25
12433.0,0,10,16794.14,47
12434.0,84,3,1103.4300000000003,98
12435.0,79,6,13670.78,109
12437.0,1,39,12683.400000000001,18
12438.0,14,2,2873.19,62
12439.0,682,2,1142.88,21
12440.0,462,2,850.02,127
12444.0,21,5,4935.08,29
12445.0,22,2,434.98,199
12449.0,22,6,4835.889999999999,69
12450.0,156,5,688.2,63
12451.0,10,8,12666.82,64
12452.0,16,2,424.45,0
12454.0,56,5,14726.02,72
12455.0,73,10,5873.929999999999,64
12456.0,44,3,3135.1399999999994,70
12457.0,66,8,2962.25,46
12458.0,71,4,1759.13,104
12461.0,94,2,811.5799999999999,30
12462.0,18,2,1189.5900000000001,142
12463.0,53,4,1344.7800000000002,47
12464.0,10,8,1212.05,37
12465.0,17,2,742.19,76
12468.0,187,5,3670.74,99
12469.0,522,2,3070.54,7
